Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AAPL|Apple Inc. - Common Stock|Q|N|N|100|N|N
AMD|Advanced Micro Devices, Inc. - Common Stock|Q|N|N|100|N|N
ARM|Arm Holdings plc - American Depositary Shares|Q|N|N|100|N|N
MLGO|MicroAlgo Inc. - Ordinary Shares|S|N|N|100|N|N
MLGOW|MicroAlgo Inc. - Warrant|S|N|N|100|N|N
MSFT|Microsoft Corporation - Common Stock|Q|N|N|100|N|N
NVDA|NVIDIA Corporation - Common Stock|Q|N|N|100|N|N
NVDQ|T-Rex 2X Inverse NVIDIA Daily Target ETF|G|N|N|100|Y|N
NVDX|T-Rex 2X Long NVIDIA Daily Target ETF|G|N|N|100|Y|N
ARMG|Leverage Shares 2X Long ARM Daily ETF|G|N|N|100|Y|N
PHAR|Pharming Group N.V. - American Depositary Share|G|N|N|100|N|N
QQQ|Invesco QQQ Trust, Series 1|G|N|N|100|Y|N
ZXZZT|NASDAQ TEST STOCK|G|Y|N|100|N|N
File Creation Time: 0923202621:00||||||
